target_rps,throughput_rps,duration_s,requests,success,failed,error_pct,p50_ms,p95_ms,p99_ms,max_ms
"5",0.42713154520741525,29.799696876,150,17,133,88.66666666666667,10000.564923,10001.645975,10003.191282,10003.63228
"10",0.2255551604049688,29.900170472,300,9,291,97,10000.634834,10002.08801,10005.891533,10013.697186
"25",0.1501452348250072,29.960209239,750,6,744,99.2,10000.589448,10001.291979,10002.009989,10012.382921
"50",0.20009464893591777,29.980329851,1500,8,1492,99.46666666666667,10000.655442,10001.995945,10003.662981,10019.117866
"75",0.15004530689313159,29.987056237,2250,6,2244,99.73333333333333,10000.685575,10002.184479,10004.259492,10011.189945
"100",0.12503105039547602,29.989569245,3000,5,2995,99.83333333333333,10000.649383,10002.040838,10003.894691,10008.683138
"150",0.12501764891964814,29.993015039,4500,5,4495,99.8888888888889,10000.701365,10002.536735,10005.309076,10022.538868
"200",0.15001287362852392,29.995665309,6000,6,5994,99.9,10000.646493,10001.966417,10004.49109,10049.375736
"300",0.12500660279563186,29.996581512,9000,5,8995,99.94444444444444,10000.657441,10001.954369,10005.456868,10040.428538
"400",0.07500279230895598,29.997816853,12000,3,11997,99.97500000000001,10000.706108,10002.248097,10005.861304,10035.643432
