target_rps,throughput_rps,duration_s,requests,success,failed,error_pct,p50_ms,p95_ms,p99_ms,max_ms
"5",0.8039718229641579,29.800449427,150,32,118,78.66666666666666,10000.406117,10001.281093,10002.214753,10005.150684
"10",0.5012466102317982,29.90028081,300,20,280,93.33333333333333,10000.634428,10002.857454,10004.76039,10008.913467
"25",0.4254053403317254,29.960581911,750,17,733,97.73333333333333,10000.511991,10001.207477,10001.829877,10005.097969
"50",0.4752470716495892,29.978266232,1500,19,1481,98.73333333333333,10000.53526,10001.211124,10002.072028,10009.072765
"75",0.350110203357199,29.986424133,2250,14,2236,99.37777777777778,10000.536015,10001.200226,10001.586635,10002.700804
"100",0.4501021767386743,29.990156251,3000,18,2982,99.4,10000.565249,10001.214899,10001.789346,10003.966345
"150",0.3000430568087425,29.993696246,4500,12,4488,99.73333333333333,10000.55429,10001.264499,10002.582671,10012.115952
"200",0.3250353704383958,29.994761951,6000,13,5987,99.78333333333333,10000.547409,10001.179965,10001.418643,10006.665609
"300",0.3750237538076787,29.996901857,9000,15,8985,99.83333333333333,10000.679114,10002.605296,10008.84998,10065.12045
"400",0.2749938633400684,30.000467113,12000,11,11989,99.90833333333333,10000.778511,10003.205824,10008.507855,10035.823657
