target_rps,throughput_rps,duration_s,requests,success,failed,error_pct,p50_ms,p95_ms,p99_ms,max_ms
"5",0.7034624784770354,29.799491492,150,28,122,81.33333333333333,10000.542704,10001.147322,10001.582178,10003.626452
"10",0.4260610809751569,29.900059627,300,17,283,94.33333333333334,10000.559697,10001.186744,10001.35355,10001.380388
"25",0.27526888502797114,29.960292001,750,11,739,98.53333333333333,10000.542817,10001.199858,10001.332411,10001.582203
"50",0.3001414604821218,29.97991758,1500,12,1488,99.2,10000.525115,10001.170785,10001.3113,10002.766378
"75",0.2500784313356806,29.986569035,2250,10,2240,99.55555555555556,10000.507029,10001.1751,10001.294098,10001.543291
"100",0.22505375492768973,29.990004727,3000,9,2991,99.7,10000.501897,10001.156134,10001.308473,10004.220454
"150",0.27503807194570645,29.993601961,4500,11,4489,99.75555555555556,10000.506942,10001.145165,10001.280216,10002.173811
"200",0.25002073336309677,29.995582027,6000,10,5990,99.83333333333333,10000.502891,10001.11659,10001.246682,10007.225503
"300",0.1500124409067555,29.996498876,9000,6,8994,99.93333333333332,10000.522619,10001.110859,10001.281147,10007.074243
"400",0.25000787409174746,29.997794688,12000,10,11990,99.91666666666667,10000.553982,10001.170551,10002.007034,10012.3341
