target_rps,throughput_rps,duration_s,requests,success,failed,error_pct,p50_ms,p95_ms,p99_ms,max_ms
"5",0.3266236930280715,29.800299776,150,13,137,91.33333333333333,10000.583327,10001.204747,10001.340061,10004.651859
"10",0.22556191962861688,29.899867349,300,9,291,97,10000.569196,10001.182697,10001.333874,10001.373006
"25",0.22521645827442754,29.960827106,750,9,741,98.8,10000.537173,10001.211017,10002.371426,10004.638174
"50",0.17508444794777106,29.979949852,1500,7,1493,99.53333333333333,10000.544371,10001.191441,10001.41692,10004.207404
"75",0.2500799151250455,29.986486041,2250,10,2240,99.55555555555556,10000.538598,10001.171836,10001.29794,10003.198093
"100",0.22505241708786908,29.989858049,3000,9,2991,99.7,10000.557839,10001.162118,10001.290815,10001.507979
"150",0.2500387329000206,29.992806058,4500,10,4490,99.77777777777777,10000.493746,10001.125954,10001.278443,10005.974961
"200",0.25002174759166645,29.995370068,6000,10,5990,99.83333333333333,10000.534093,10001.118865,10001.307954,10010.11397
"300",0.22501650972571297,29.996171058,9000,9,8991,99.9,10000.524585,10001.100431,10001.22062,10005.351801
"400",0.1500086306603101,29.997572513,12000,6,11994,99.95,10000.536526,10001.135515,10001.643814,10012.835041
